molecule_chembl_id;canonical_smiles;standard_value;bioactivity
CHEMBL51470;CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)Cc1c(C)[nH]c2ccc(F)cc12;60000;inactive
CHEMBL50738;COc1ccc(C(=O)N2C(=O)[C@@H](C)C3[C@@H]2CCN3C(=O)OCc2ccccc2)cc1;5000000;inactive
CHEMBL50745;CC(=O)OCC(=O)N1C(=O)C(C)C2C1CCN2C(=O)OCc1ccccc1;130000;inactive
CHEMBL298960;CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2CC(=O)Cc1ccccc1;790000;inactive
CHEMBL50778;CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1C(=O)c1ccccc1;5000000;inactive
CHEMBL50088;CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1;110000;inactive
CHEMBL51006;C[C@@H]1C(=O)N(C=O)[C@H]2CCN(C(=O)OCc3ccccc3)C12;3980000;inactive
CHEMBL2115461;C[C@@H]1C(=O)N(C(=O)C2[C@@H](C)[C@@H]2C)[C@H]2CCN(C(=O)OCc3ccccc3)C12;1000000;intermediate
CHEMBL51361;CC(=O)OCC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1;60000;inactive
CHEMBL2115030;C[C@@H]1C(=O)N(C(=O)C2[C@@H](C)[C@H]2C)[C@H]2CCN(C(=O)OCc3ccccc3)C12;720000;inactive
CHEMBL50095;CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2S(=O)(=O)CCc1ccccc1;450000;inactive
CHEMBL295494;C[C@@H]1C(=O)N(C(=O)C2Cc3ccccc32)[C@H]2CCN(C(=O)OCc3ccccc3)C12;115000;inactive
CHEMBL299204;C[C@H]1C(=O)N(C(=O)C2CC2)[C@@H]2CCN(C(=O)CN(C)S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@@H]12;1000000;intermediate
CHEMBL298178;CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)C(=O)c1cccn1C;50000;inactive
CHEMBL288793;C[C@@H](NC(=O)N1C(=O)CC1SCc1ccc(CC(=O)OC(C)(C)C)cc1)c1ccccc1;750000;intermediate
CHEMBL35797;CC[C@@H](NC(=O)N1C(=O)CC1SCc1ccccn1)c1ccccc1;12000;intermediate
CHEMBL286322;C[C@@H](NC(=O)N1C(=O)CC1SCCc1ccccc1)c1ccccc1;65000;intermediate
CHEMBL32559;C[C@@H](NC(=O)N1C(=O)CC1SCc1ccncc1)c1ccccc1;21000;intermediate
CHEMBL32486;C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1;19000;intermediate
CHEMBL263736;CC(C)C[C@@H](COC1CC(=O)N1C(=O)NCc1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C;13000;intermediate
CHEMBL285920;CC(C)C[C@@H](COC1CC(=O)N1C(=O)N[C@H](C)c1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C;14000;intermediate
CHEMBL287467;C[C@@H](NC(=O)N1C(=O)CC1SCc1ccccn1)c1ccccc1;25000;active
CHEMBL433040;C[C@@H](NC(=O)N1C(=O)CC1SCC(=O)c1ccccc1)c1ccccc1;10000;intermediate
CHEMBL36353;O=C1CC(SCc2ccccn2)N1C(=O)N[C@H](CO)c1ccccc1;36000;intermediate
CHEMBL36010;O=C1CC(SCc2ccccn2)N1C(=O)NCCOCc1ccccc1;64000;inactive
CHEMBL32936;CC(C)C[C@@H](COC1CC(=O)N1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C;3000000;active
CHEMBL35762;CC(C)C[C@@H](CSC1CC(=O)N1C(=O)NCc1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C;4000;active
CHEMBL35353;CC[C@H](NC(=O)N1C(=O)CC1SC[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)c1ccccc1;700;intermediate
CHEMBL32918;C[C@@H](NC(=O)N1C(=O)CC1SCc1ccccc1)c1ccccc1;24000;active
CHEMBL32166;CC(C)C[C@@H](COC1CC(=O)N1C(=O)N[C@@H](C)c1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C;3000;intermediate
CHEMBL32171;C[C@@H](NC(=O)N1C(=O)CC1SCc1cccnc1)c1ccccc1;20000;active
CHEMBL335147;Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3cccs3)oc(=O)c12;290;active
CHEMBL433457;COc1ccc2nc(/C=C/c3cccc4cc(NS(=O)(=O)C(F)(F)F)ccc34)ccc2c1;34;active
CHEMBL57560;O=C(O)c1ccc(CNc2ccc3c(COc4ccccc4)cccc3c2)cc1;48;active
CHEMBL265046;Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3cccc([N+](=O)[O-])c3)oc(=O)c12;310;active
CHEMBL57561;O=C(O)c1ccc2c(/C=C/c3ccc4ccccc4n3)cccc2c1;500;active
CHEMBL52599;O=C(O)c1ccc(C(=O)Nc2ccc3c(COc4cccc(C(F)(F)F)c4)cccc3c2)cc1;152;intermediate
CHEMBL343974;Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)Nc3ccccc3)oc(=O)c12;23000;active
CHEMBL440297;O=S(=O)(Nc1ccc2c(/C=C/c3ccc4ccccc4n3)cccc2c1)C(F)(F)F;95;active
CHEMBL299063;O=S(=O)(Nc1ccc2c(/C=C/c3cccc(C(F)(F)F)c3)cccc2c1)C(F)(F)F;65;active
CHEMBL56642;O=S(=O)(Nc1ccc2c(/C=C/c3cc(Cl)c4ccccc4n3)cccc2c1)C(F)(F)F;105;active
CHEMBL293782;Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc3c(/C=C/c4ccc5ccc(Cl)cc5n4)cccc3c2)cc1;83;active
CHEMBL57617;O=S(=O)(Nc1ccc2c(/C=C/c3ccc4ccc(Cl)cc4n3)cccc2c1)C(F)(F)F;151;inactive
CHEMBL138045;Cc1csc2nc([C@H](C)NC(=O)CCC(=O)c3cccs3)oc(=O)c12;190000;active
CHEMBL59436;COc1cccc(/C=C/c2cccc3cc(NS(=O)(=O)C(F)(F)F)ccc23)c1;66;active
CHEMBL56361;O=C(O)c1ccc(CNc2ccc3c(/C=C/c4cccc(C(F)(F)F)c4)cccc3c2)cc1;69;active
CHEMBL56741;O=C(O)c1ccc(C(=O)Nc2ccc3c(COc4ccc(Br)cc4)cccc3c2)cc1;213;active
CHEMBL141311;CCOc1ccc(C(=O)/C=C/C(=O)N[C@@H](C)c2nc3scc(C)c3c(=O)o2)cc1;2600;active
CHEMBL345042;Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3ccccc3[N+](=O)[O-])oc(=O)c12;140;active
CHEMBL59252;O=C(Nc1ccc2c(/C=C/c3ccc4cc(Cl)ccc4n3)cccc2c1)Oc1ccccc1;500;active
CHEMBL141684;Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3cccc(C#N)c3)oc(=O)c12;410;active
CHEMBL442168;O=S(=O)(Nc1ccc2c(/C=C/c3ccc4cccc(Cl)c4n3)cccc2c1)C(F)(F)F;32;active
CHEMBL55962;O=C(Nc1ccc2c(/C=C/c3ccc4ccc(Cl)cc4n3)cccc2c1)c1ccccc1;500;active
CHEMBL57565;O=C(O)c1ccc(C(=O)Nc2ccc3c(OCc4cccc(Br)c4)cccc3c2)cc1;61;active
CHEMBL137847;CC(=O)/C=C/C(=O)N[C@@H](C)c1nc2scc(C)c2c(=O)o1;3700;active
CHEMBL292678;Nc1ccc2c(/C=C/c3ccc4ccc(Cl)cc4n3)cccc2c1;500;active
CHEMBL56849;O=C(O)c1ccc(CNc2ccc3c(/C=C/c4ccc5ccc(Cl)cc5n4)cccc3c2)cc1;27;active
CHEMBL57465;O=C(O)c1ccc(C(=O)Nc2ccc3c(OCc4cccc(C(F)(F)F)c4)cccc3c2)cc1;74;active
CHEMBL293998;Cc1ccc2nc(/C=C/c3cccc4cc(NS(=O)(=O)C(F)(F)F)ccc34)ccc2c1;63;active
CHEMBL54930;O=C(Nc1ccc2c(/C=C/c3ccc4ccc(Cl)cc4n3)cccc2c1)NS(=O)(=O)c1ccc(Cl)cc1;47;active
CHEMBL56307;O=C(O)c1ccc(C(=O)Nc2ccc3c(/C=C/c4cccc(C(F)(F)F)c4)cccc3c2)cc1;69;active
CHEMBL299043;O=S(=O)(Nc1ccc2c(/C=C/c3ccc4cc(Cl)ccc4n3)cccc2c1)C(F)(F)F;32;active
CHEMBL56701;CC(=O)Nc1ccc2c(/C=C/c3ccc4cc(Cl)ccc4n3)cccc2c1;430;active
CHEMBL293304;O=C(O)c1ccc(C(=O)Nc2ccc3c(/C=C/c4ccc5ccc(Cl)cc5n4)cccc3c2)cc1;174;active
CHEMBL139405;Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3ccc(Cl)cc3)oc(=O)c12;600;inactive
CHEMBL344631;Cc1csc2nc([C@H](C)NC(=O)CCC(=O)c3ccccc3)oc(=O)c12;210000;active
CHEMBL56153;O=S(=O)(Nc1ccc2c(/C=C/c3ccccc3)cccc2c1)C(F)(F)F;75;active
CHEMBL56633;O=S(=O)(Nc1ccc2c(/C=C/c3ccc(Cl)cc3)cccc2c1)C(F)(F)F;43;active
CHEMBL440672;O=C(Nc1ccc2c(/C=C/c3ccc4ccc(Cl)cc4n3)cccc2c1)NS(=O)(=O)c1ccccc1;67;active
CHEMBL140485;COc1cccc(C(=O)/C=C/C(=O)N[C@@H](C)c2nc3scc(C)c3c(=O)o2)c1;290;active
